,Hardware features - DS8000,,,,,,,,
,MT,Model,Feature,Feature Description (30 char max),License Value Override,Licensed Function Indicator,IGF Transaction Indicator,CoD Machine Indicator,CoD Activation Period
,2107.0,931.0,7005.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7010.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7015.0,IGF transaction: OEL,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7070.0,IGF transaction: TP,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7080.0,IGF transaction: DB protect,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7090.0,IGF transaction: FICON / ESCON,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7092.0,IGF transaction: zHPF,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7200.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7201.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7202.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7203.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7204.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7205.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7210.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7215.0,IGF transaction: PTC,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7230.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7231.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7232.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7233.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7234.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7235.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7240.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7245.0,IGF transaction: PTC add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7300.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7301.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7302.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7303.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7304.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7305.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7310.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7315.0,IGF transaction: SE,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7330.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7331.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7332.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7333.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7334.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7335.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7340.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7345.0,IGF transaction: SE add-on,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7420.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7421.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7422.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7423.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7424.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7425.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7430.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7435.0,IGF transaction: MGM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7440.0,IGF transaction: MM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7441.0,IGF transaction: MM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7442.0,IGF transaction: MM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7443.0,IGF transaction: MM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7444.0,IGF transaction: MM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7445.0,IGF transaction: MM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7450.0,IGF transaction: MM,FALSE,FALSE,TRUE,FALSE,
,2107.0,931.0,7455.0,IGF transaction: MM,FALSE,FALSE,TRUE,FALSE,
